年度,總計,國外進儲,輸往國外,基隆港,高雄港,臺中港,臺北港,蘇澳港,安平港,桃園空港
97年, 1479695  , 775716  , 703979  , 18332  , 90663  , 1331802  , 28255  , -  , -  , 10642  
98年, 1299776  , 741111  , 558665  , 9902  , 281857  , 960405  , 31823  , -  , -  , 15789  
99年, 3357780  , 1840600  , 1517180  , 10130  , 382343  ," 2,666,240 "," 276,840 ", -  , -  , 22227  
100年, 4075850  , 1989778  , 2086071  ," 29,891 ", 424832  ," 2,903,101 "," 696,620 ", 11  , -  ," 21,395 "
101年, 10179897  , 4214926  , 5964971  , 48919  , 584020  , 9151353  , 373003  , 6  , -  , 22598  
102年, 9893637  , 5067090  , 4826547  , 63598  , 522972  , 8410601  , 868430  , 38  , -  , 27998  
103年, 8092681  , 3938223  , 4154458  , 64596  , 614547  , 6234467  , 1150519  , 20  , -  , 28531  
104年, 8837362  , 4541222  , 4296140  , 27464  , 745183  , 6960017  , 1082166  , 16  , -  , 22516  
105年, 13888144  , 6956799  , 6931345  , 10711  , 769733  , 11804546  , 1275999  , 42  , 7548  , 19565  
106年, 9550370  , 4754011  , 4796359  , 14061  , 1183387  , 7807584  , 511032  , 85  , 12588  , 21633  
107年, 7505362  , 3800589  , 3704772  , 16289  , 1116108  , 5717687  , 612128  , 2  , 11691  , 31457  
108年, 6193608  , 3210676  , 2982932  , 6688  , 971966  , 4946389  , 202161  , 33  , 27638  , 38733  
109年, 6543863  , 3562767  , 2981095  , 4156  , 995697  , 5302308  , 159602  , 8  , 48578  , 33515  
110年, 6891468  , 3661922  , 3229547  , 4162  , 909504  , 5747021  , 193629  , 6  , 5205  , 31942  
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,