year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2001,0.08%,0.12%,0.04%,0.22%,1.16%,5.99%,10.78%,1.78%,0.18%,1.31%,12.58%,0.77%,0.79%,0.25%,10.80%,49.17%,1.06%,2.91%,1.23%
2002,0.06%,0.09%,0.04%,0.18%,0.85%,5.79%,9.74%,1.37%,0.14%,1.15%,9.80%,0.52%,0.64%,0.17%,10.66%,53.82%,0.73%,4.27%,1.08%
2003,0.06%,0.09%,0.04%,0.15%,1.04%,5.91%,9.24%,1.02%,0.12%,0.99%,8.20%,0.35%,0.52%,0.13%,10.85%,51.23%,1.09%,8.97%,1.07%
2004,0.06%,0.07%,0.04%,0.14%,1.52%,6.41%,9.59%,0.80%,0.10%,0.85%,6.81%,0.28%,0.50%,0.15%,9.73%,49.26%,0.99%,12.71%,0.95%
2005,0.10%,0.06%,0.03%,0.14%,1.21%,7.19%,10.02%,0.70%,0.09%,0.73%,5.96%,0.25%,0.55%,0.19%,10.26%,48.27%,0.67%,13.57%,1.09%
2006,0.13%,0.05%,0.02%,0.13%,1.53%,6.78%,9.44%,0.62%,0.07%,0.62%,5.12%,0.20%,0.51%,0.46%,9.68%,49.21%,0.60%,14.85%,0.94%
2007,0.09%,0.04%,0.02%,0.14%,1.62%,8.40%,9.61%,0.54%,0.06%,0.59%,4.30%,0.17%,0.45%,0.52%,9.44%,47.38%,0.51%,16.13%,0.83%
2008,0.10%,0.04%,0.03%,0.18%,3.35%,9.30%,9.28%,0.51%,0.04%,0.55%,3.87%,0.15%,0.41%,1.21%,8.30%,43.79%,0.51%,18.38%,0.83%
2009,0.12%,0.06%,0.03%,0.26%,1.53%,9.27%,9.89%,0.43%,0.05%,0.57%,3.97%,0.13%,0.48%,2.22%,7.22%,46.94%,0.88%,15.94%,0.82%
2010,0.13%,0.06%,0.03%,0.26%,1.66%,9.43%,9.80%,0.38%,0.03%,0.50%,3.48%,0.12%,0.66%,1.76%,6.29%,47.31%,0.97%,17.13%,0.75%
2011,0.19%,0.07%,0.03%,0.32%,1.86%,10.34%,9.28%,0.33%,0.03%,0.45%,3.41%,0.11%,1.01%,2.49%,6.13%,48.00%,0.88%,15.07%,0.74%
2012,0.24%,0.08%,0.04%,0.42%,2.93%,9.60%,9.01%,0.36%,0.04%,0.47%,3.10%,0.10%,1.21%,1.15%,5.42%,49.76%,0.85%,15.21%,0.80%
2013,0.27%,0.11%,0.04%,0.56%,3.41%,9.60%,8.92%,0.33%,0.04%,0.39%,2.90%,0.10%,1.06%,0.66%,4.97%,51.51%,0.93%,14.19%,0.86%
2014,0.30%,0.12%,0.02%,0.60%,3.17%,8.88%,8.11%,0.39%,0.05%,0.37%,2.61%,0.09%,1.11%,0.92%,4.80%,55.05%,0.85%,12.57%,0.92%
2015,0.31%,0.18%,0.01%,0.61%,2.83%,7.92%,7.56%,0.30%,0.04%,0.39%,2.62%,0.09%,1.11%,1.34%,4.92%,57.97%,1.12%,10.67%,1.04%
2016,0.24%,0.18%,0.01%,0.61%,1.73%,7.39%,6.97%,0.21%,0.04%,0.37%,2.30%,0.07%,1.09%,0.60%,4.66%,63.09%,0.93%,9.51%,0.98%
2017,0.27%,0.19%,0.01%,0.62%,1.47%,7.20%,7.19%,0.16%,0.05%,0.41%,2.01%,0.07%,0.98%,0.44%,5.06%,64.24%,0.62%,9.03%,0.89%
2018,0.35%,0.20%,0.01%,0.66%,1.37%,7.78%,7.31%,0.12%,0.04%,0.48%,1.82%,0.06%,0.91%,0.39%,4.90%,64.76%,0.68%,8.16%,0.80%
2019,0.37%,0.23%,0.01%,0.73%,1.60%,6.31%,6.48%,0.10%,0.03%,0.49%,1.55%,0.05%,0.84%,0.46%,4.25%,67.86%,0.55%,8.10%,0.78%
2020,0.22%,0.19%,0.01%,0.61%,1.10%,4.74%,5.49%,0.06%,0.02%,0.44%,1.07%,0.04%,0.87%,1.29%,3.96%,71.98%,0.56%,7.33%,0.69%
2021,0.23%,0.12%,0.02%,0.54%,1.19%,5.16%,5.86%,0.06%,0.02%,0.41%,0.99%,0.05%,0.73%,0.59%,4.05%,72.55%,0.55%,6.88%,0.63%